"Module" "Day" "Module Leader" "Readings"
"1" "[Introduction](https://crumplab.github.io/psyc73800/Presentations/1_a_intro.html#1)" "Friday August 28" "Matt Crump" "NONE"
"2" "Module 1: Foundations" "Friday September 4" "Matt Crump" "- Miller, G. A. (1956). The magic number seven plus or minus two: Some limits on our capacity for processing information. Psychological review, 63, 91-97. <br> - Schacter, D. L., Eich, J. E., & Tulving, E. (1978). Richard Semon's theory of memory. Journal of Verbal Learning and Verbal Behavior, 17(6), 721-743. <br> - Newell, A. (1973). You can't play 20 questions with nature and win: Projective comments on the papers of this symposium."
"3" "Module 1: Foundations" "Friday September 11" "Matt Crump" "Hintzman, D. L. (1986). Schema abstraction in a multiple-trace memory model. Psychological review, 93(4), 411. Crump, M. J., Lai, W., & Brosowsky, N. P. (2019). Instance theory predicts information theory: Episodic uncertainty as a determinant of keystroke dynamics. Canadian Journal of Experimental Psychology, 73(4), 203. Aujla, H., Crump, M. J., Cook, M. T., & Jamieson, R. K. (2019). The Semantic Librarian: A search engine built from vector-space models of semantics. Behavior Research Methods, 51(6), 2405-2418."
"4" "NO CLASS" "Friday September 18 - closed" NA "TBD"
"5" "Module 2: Learning" "Friday September 25" "Andy Delamater" "TBD"
"6" "Module 2: Learning" "Friday October 2" "Andy Delamater" "TBD"
"7" "Module 3: Language" "Friday October 9" "Virginia Valian" "TBD"
"8" "Module 3: Language" "Friday October 16" "Virginia Valian" "TBD"
"9" "Midterm" "Friday October 23" "Matt Crump" "Midterm"
"10" "Module 4: Embodied Cognition" "Friday October 30" "Natalie Kacinik" "TBD"
"11" "Module 4: Embodied Cognition" "Friday November 6" "Natalie Kacinik" "TBD"
"12" "Module 5: Concepts" "Friday November 13" "Sandeep Prasada" "TBD"
"13" "Module 5: Concepts" "Friday November 20" "Sandeep Prasada" "TBD"
"14" "Module 6: Decision-Making" "Wednesday November 25" "Jennifer Mangels" "TBD"
"15" "Module 6: Decision-Making" "Friday December 4" "Jennifer Mangels" "TBD"
